scope,model family,n pairs,review-ready / not-ready,AUROC [95% CI],AUPRC [95% CI],Brier,ECE-5,delta AUROC vs descriptor+quality,delta AUPRC vs descriptor+quality
Pooled,Descriptor only,400,275 / 125,"0.585 [0.531, 0.641]","0.775 [0.728, 0.829]",0.215,0.075,-0.186,-0.107
Pooled,Quality only,400,275 / 125,"0.724 [0.670, 0.785]","0.809 [0.749, 0.869]",0.183,0.051,-0.048,-0.073
Pooled,PF-ERI evidence only,400,275 / 125,"0.740 [0.691, 0.795]","0.845 [0.795, 0.892]",0.179,0.020,-0.031,-0.038
Pooled,Descriptor + quality,400,275 / 125,"0.772 [0.723, 0.824]","0.882 [0.840, 0.918]",0.178,0.060,0.000,0.000
Pooled,Descriptor + PF-ERI,400,275 / 125,"0.786 [0.741, 0.839]","0.885 [0.845, 0.923]",0.167,0.018,0.014,0.003
Pooled,Descriptor + quality + PF-ERI,400,275 / 125,"0.786 [0.741, 0.839]","0.885 [0.845, 0.923]",0.167,0.018,0.014,0.003
MegaDescriptor,Descriptor only,200,148 / 52,"0.677 [0.601, 0.750]","0.873 [0.815, 0.924]",0.179,0.050,-0.116,-0.048
MegaDescriptor,Quality only,200,148 / 52,"0.713 [0.616, 0.787]","0.852 [0.776, 0.912]",0.181,0.111,-0.080,-0.069
MegaDescriptor,PF-ERI evidence only,200,148 / 52,"0.735 [0.660, 0.800]","0.895 [0.844, 0.934]",0.172,0.019,-0.058,-0.025
MegaDescriptor,Descriptor + quality,200,148 / 52,"0.794 [0.722, 0.849]","0.920 [0.883, 0.953]",0.156,0.038,0.000,0.000
MegaDescriptor,Descriptor + PF-ERI,200,148 / 52,"0.789 [0.713, 0.846]","0.918 [0.880, 0.950]",0.156,0.014,-0.005,-0.002
MegaDescriptor,Descriptor + quality + PF-ERI,200,148 / 52,"0.789 [0.713, 0.846]","0.918 [0.880, 0.950]",0.156,0.014,-0.005,-0.002
DINOv2,Descriptor only,200,127 / 73,"0.632 [0.558, 0.705]","0.740 [0.652, 0.818]",0.220,0.018,-0.166,-0.134
DINOv2,Quality only,200,127 / 73,"0.728 [0.658, 0.803]","0.761 [0.678, 0.852]",0.184,0.079,-0.070,-0.113
DINOv2,PF-ERI evidence only,200,127 / 73,"0.738 [0.669, 0.812]","0.765 [0.686, 0.856]",0.185,0.043,-0.060,-0.109
DINOv2,Descriptor + quality,200,127 / 73,"0.798 [0.733, 0.859]","0.874 [0.815, 0.922]",0.170,0.048,0.000,0.000
DINOv2,Descriptor + PF-ERI,200,127 / 73,"0.790 [0.727, 0.851]","0.858 [0.797, 0.915]",0.173,0.037,-0.008,-0.016
DINOv2,Descriptor + quality + PF-ERI,200,127 / 73,"0.790 [0.727, 0.851]","0.858 [0.797, 0.915]",0.173,0.037,-0.008,-0.016
