name,short_name,continent,country,region,image_base_url_relative,bbox_url_relative,image_base_url_gcp,metadata_url_gcp,bbox_url_gcp,image_base_url_aws,metadata_url_aws,bbox_url_aws,image_base_url_azure,metadata_url_azure,bbox_url_azure,mdv5a_results_raw,mdv5b_results_raw,md1000-redwood_results_raw,md_results_with_rde
Caltech Camera Traps,caltech-camera-traps,North America,United States,,caltech-unzipped/cct_images,caltechcameratraps/labels/caltech_bboxes_20200316.json,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images,https://storage.googleapis.com/public-datasets-lila/caltechcameratraps/labels/caltech_camera_traps.json.zip,https://storage.googleapis.com/public-datasets-lila/caltechcameratraps/labels/caltech_bboxes_20200316.json,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltechcameratraps/labels/caltech_camera_traps.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltechcameratraps/labels/caltech_bboxes_20200316.json,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltechcameratraps/labels/caltech_camera_traps.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltechcameratraps/labels/caltech_bboxes_20200316.json,https://lila.science/public/lila-md-results/caltech-camera-traps_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/caltech-camera-traps_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/caltech-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.300.json.zip
ENA24,ena24,North America,United States,,ena24/images,,https://storage.googleapis.com/public-datasets-lila/ena24/images,https://storage.googleapis.com/public-datasets-lila/ena24/ena24.json,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/ena24/images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/ena24/ena24.json,,https://lilawildlife.blob.core.windows.net/lila-wildlife/ena24/images,https://lilawildlife.blob.core.windows.net/lila-wildlife/ena24/ena24.json,,https://lila.science/public/lila-md-results/ena24_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/ena24_mdv5b.0.0_results.json.zip,,
Missouri Camera Traps,missouri-camera-traps,,,,missouricameratraps/images,,https://storage.googleapis.com/public-datasets-lila/missouricameratraps/images,https://storage.googleapis.com/public-datasets-lila/missouricameratraps/missouri_camera_traps_set1_1.21.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/missouricameratraps/images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/missouricameratraps/missouri_camera_traps_set1_1.21.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/missouricameratraps/images,https://lilawildlife.blob.core.windows.net/lila-wildlife/missouricameratraps/missouri_camera_traps_set1_1.21.json.zip,,https://lila.science/public/lila-md-results/missouri-camera-traps_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/missouri-camera-traps_mdv5b.0.0_results.json.zip,,
NACTI,nacti,North America,United States,,nacti-unzipped,nacti/nacti_20230920_bboxes.zip,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped,https://storage.googleapis.com/public-datasets-lila/nacti/nacti_metadata.1.14.json.zip,https://storage.googleapis.com/public-datasets-lila/nacti/nacti_20230920_bboxes.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti/nacti_metadata.1.14.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti/nacti_20230920_bboxes.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti/nacti_metadata.1.14.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti/nacti_20230920_bboxes.zip,https://lila.science/public/lila-md-results/nacti_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/nacti_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/nacti_mdv5a.0.0_results.filtered_rde_0.150_0.850_50_0.200.json.zip
WCS Camera Traps,wcs-camera-traps,,,,wcs-unzipped,wcs/wcs_20200403_bboxes.json.zip,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped,https://storage.googleapis.com/public-datasets-lila/wcs/wcs_camera_traps.json.zip,https://storage.googleapis.com/public-datasets-lila/wcs/wcs_20200403_bboxes.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs/wcs_camera_traps.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs/wcs_20200403_bboxes.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs/wcs_camera_traps.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs/wcs_20200403_bboxes.json.zip,https://lila.science/public/lila-md-results/wcs-camera-traps_animals_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/wcs-camera-traps_animals_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/wcs-camera-traps_animals_mdv5a.0.0_results.filtered_rde_0.150_0.850_20_0.200.json.zip
Wellington Camera Traps,wellington-camera-traps,Oceania,New Zealand,Wellington,wellington-unzipped/images,,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images,https://storage.googleapis.com/public-datasets-lila/wellingtoncameratraps/wellington_camera_traps.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellingtoncameratraps/wellington_camera_traps.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellingtoncameratraps/wellington_camera_traps.json.zip,,https://lila.science/public/lila-md-results/wellington-camera-traps_images_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/wellington-camera-traps_images_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/wellington-camera-traps_images_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.200.json.zip
Island Conservation Camera Traps,island-conservation-camera-traps,,,,islandconservationcameratraps/public,,https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public,https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/island_conservation_camera_traps_1.02.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/island_conservation_camera_traps_1.02.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/island_conservation_camera_traps_1.02.zip,,https://lila.science/public/lila-md-results/island-conservation-camera-traps_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/island-conservation-camera-traps_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/island-conservation-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.200.json.zip
Channel Islands Camera Traps,channel-islands-camera-traps,North America,United States,California,channel-islands-camera-traps/images,,https://storage.googleapis.com/public-datasets-lila/channel-islands-camera-traps/images,https://storage.googleapis.com/public-datasets-lila/channel-islands-camera-traps/channel-islands-camera-traps.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/channel-islands-camera-traps/images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/channel-islands-camera-traps/channel-islands-camera-traps.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/channel-islands-camera-traps/images,https://lilawildlife.blob.core.windows.net/lila-wildlife/channel-islands-camera-traps/channel-islands-camera-traps.json.zip,,https://lila.science/public/lila-md-results/channel-islands-camera-traps_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/channel-islands-camera-traps_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/channel-islands-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.300.json.zip
Idaho Camera Traps,idaho-camera-traps,North America,United States,Idaho,idaho-camera-traps/public,,https://storage.googleapis.com/public-datasets-lila/idaho-camera-traps/public,https://storage.googleapis.com/public-datasets-lila/idaho-camera-traps/idaho-camera-traps.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/idaho-camera-traps/public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/idaho-camera-traps/idaho-camera-traps.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/idaho-camera-traps/public,https://lilawildlife.blob.core.windows.net/lila-wildlife/idaho-camera-traps/idaho-camera-traps.json.zip,,https://lila.science/public/lila-md-results/idaho-camera-traps_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/idaho-camera-traps_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/idaho-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_30_0.200.json.zip
Snapshot Serengeti,snapshot-serengeti,Africa,Tanzania,,snapshotserengeti-unzipped,snapshotserengeti-v-2-0/SnapshotSerengetiBboxes_20190903.json.zip,https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-unzipped,https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-v-2-0/SnapshotSerengeti_S1-11_v2_1.json.zip,https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-v-2-0/SnapshotSerengetiBboxes_20190903.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshotserengeti-unzipped,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshotserengeti-v-2-0/SnapshotSerengeti_S1-11_v2_1.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshotserengeti-v-2-0/SnapshotSerengetiBboxes_20190903.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshotserengeti-unzipped,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshotserengeti-v-2-0/SnapshotSerengeti_S1-11_v2_1.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshotserengeti-v-2-0/SnapshotSerengetiBboxes_20190903.json.zip,,,https://lila.science/public/lila-md-results/snapshot-serengeti-2025-03-22-v1000.0.0-redwood_detections.threshold.json.zip,https://lila.science/public/lila-md-results/snapshot-serengeti-2025-03-22-v1000.0.0-redwood_detections.filtered.json.zip
Snapshot Karoo,snapshot-safari_KAR,Africa,South Africa,,snapshot-safari/KAR/KAR_public,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/KAR/KAR_public,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/KAR/SnapshotKaroo_S1_v1.0.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/KAR/KAR_public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/KAR/SnapshotKaroo_S1_v1.0.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/KAR/KAR_public,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/KAR/SnapshotKaroo_S1_v1.0.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_KAR_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/snapshot-safari_KAR_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_KAR_mdv5a.0.0_results.filtered_rde_0.150_0.850_15_0.200.json.zip
Snapshot Kgalagadi,snapshot-safari_KGA,Africa,Botswana,,snapshot-safari/KGA/KGA_public,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/KGA/KGA_public,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/KGA/SnapshotKgalagadi_S1_v1.0.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/KGA/KGA_public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/KGA/SnapshotKgalagadi_S1_v1.0.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/KGA/KGA_public,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/KGA/SnapshotKgalagadi_S1_v1.0.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_KGA_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/snapshot-safari_KGA_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_KGA_mdv5a.0.0_results.filtered_rde_0.150_0.850_15_0.200.json.zip
Snapshot Enonkishu,snapshot-safari_ENO,Africa,Kenya,,snapshot-safari/ENO/ENO_public,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/ENO/ENO_public,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/ENO/SnapshotEnonkishu_S1_v1.0.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/ENO/ENO_public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/ENO/SnapshotEnonkishu_S1_v1.0.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/ENO/ENO_public,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/ENO/SnapshotEnonkishu_S1_v1.0.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_ENO_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/snapshot-safari_ENO_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_ENO_mdv5a.0.0_results.filtered_rde_0.150_0.850_15_0.200.json.zip
