name,short_name,continent,country,region,metadata_url_gcp,metadata_url_aws,metadata_url_azure,image_base_url_gcp,image_base_url_aws,image_base_url_azure,bbox_url_gcp,md_results_with_rde,mdv5a_results_raw
Caltech Camera Traps,caltech-camera-traps,North America,United States,,https://storage.googleapis.com/public-datasets-lila/caltechcameratraps/labels/caltech_camera_traps.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltechcameratraps/labels/caltech_camera_traps.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltechcameratraps/labels/caltech_camera_traps.json.zip,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images,https://storage.googleapis.com/public-datasets-lila/caltechcameratraps/labels/caltech_bboxes_20200316.json,https://lila.science/public/lila-md-results/caltech-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.300.json.zip,https://lila.science/public/lila-md-results/caltech-camera-traps_mdv5a.0.0_results.json.zip
NACTI,nacti,North America,United States,,https://storage.googleapis.com/public-datasets-lila/nacti/nacti_metadata.1.14.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti/nacti_metadata.1.14.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti/nacti_metadata.1.14.json.zip,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped,https://storage.googleapis.com/public-datasets-lila/nacti/nacti_20230920_bboxes.zip,https://lila.science/public/lila-md-results/nacti_mdv5a.0.0_results.filtered_rde_0.150_0.850_50_0.200.json.zip,https://lila.science/public/lila-md-results/nacti_mdv5a.0.0_results.json.zip
Channel Islands Camera Traps,channel-islands-camera-traps,North America,United States,California,https://storage.googleapis.com/public-datasets-lila/channel-islands-camera-traps/channel-islands-camera-traps.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/channel-islands-camera-traps/channel-islands-camera-traps.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/channel-islands-camera-traps/channel-islands-camera-traps.json.zip,https://storage.googleapis.com/public-datasets-lila/channel-islands-camera-traps/images,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/channel-islands-camera-traps/images,https://lilawildlife.blob.core.windows.net/lila-wildlife/channel-islands-camera-traps/images,,https://lila.science/public/lila-md-results/channel-islands-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.300.json.zip,https://lila.science/public/lila-md-results/channel-islands-camera-traps_mdv5a.0.0_results.json.zip
Idaho Camera Traps,idaho-camera-traps,North America,United States,Idaho,https://storage.googleapis.com/public-datasets-lila/idaho-camera-traps/idaho-camera-traps.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/idaho-camera-traps/idaho-camera-traps.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/idaho-camera-traps/idaho-camera-traps.json.zip,https://storage.googleapis.com/public-datasets-lila/idaho-camera-traps/public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/idaho-camera-traps/public,https://lilawildlife.blob.core.windows.net/lila-wildlife/idaho-camera-traps/public,,https://lila.science/public/lila-md-results/idaho-camera-traps_mdv5a.0.0_results.filtered_rde_0.150_0.850_30_0.200.json.zip,https://lila.science/public/lila-md-results/idaho-camera-traps_mdv5a.0.0_results.json.zip
Seattle(ish) Camera Traps,seattleish-camera-traps,North America,United States,Washington,https://storage.googleapis.com/public-datasets-lila/seattleish-camera-traps/seattleish_camera_traps.json.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/seattleish-camera-traps/seattleish_camera_traps.json.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/seattleish-camera-traps/seattleish_camera_traps.json.zip,https://storage.googleapis.com/public-datasets-lila/seattleish-camera-traps,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/seattleish-camera-traps,https://lilawildlife.blob.core.windows.net/lila-wildlife/seattleish-camera-traps,,https://lila.science/public/lila-md-results/seattleish-camera-traps-2025-03-23-v1000.0.0-redwood_detections.filtered.json.zip,
California Small Animals,california-small-animals,North America,United States,California,https://storage.googleapis.com/public-datasets-lila/california-small-animals/california_small_animals_with_sequences.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/california-small-animals/california_small_animals_with_sequences.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/california-small-animals/california_small_animals_with_sequences.zip,https://storage.googleapis.com/public-datasets-lila/california-small-animals,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/california-small-animals,https://lilawildlife.blob.core.windows.net/lila-wildlife/california-small-animals,,,
Oregon Critters,oregon-critters,North America,United States,Oregon,https://storage.googleapis.com/public-datasets-lila/oregon-critters/oregon_critters.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/oregon-critters/oregon_critters.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/oregon-critters/oregon_critters.zip,https://storage.googleapis.com/public-datasets-lila/oregon-critters,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/oregon-critters,https://lilawildlife.blob.core.windows.net/lila-wildlife/oregon-critters,,https://lila.science/public/lila-md-results/critters-appel-2025-03-02-v5a.0.1_detections.filtered.json.zip,https://lila.science/public/lila-md-results/critters-appel-2025-03-02-v5a.0.1_detections.json.zip
Felidae Conservation Fund 2020-2025,felidae-conservation-fund,North America,United States,California,https://storage.googleapis.com/public-datasets-lila/felidae-conservation-fund/felidae_conservation_fund_2020_2025.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/felidae-conservation-fund/felidae_conservation_fund_2020_2025.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/felidae-conservation-fund/felidae_conservation_fund_2020_2025.zip,https://storage.googleapis.com/public-datasets-lila/felidae-conservation-fund,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/felidae-conservation-fund,https://lilawildlife.blob.core.windows.net/lila-wildlife/felidae-conservation-fund,,https://lila.science/public/lila-md-results/wildepod-2026-02-16-v5a.0.1_detections.filtered.json.zip,https://lila.science/public/lila-md-results/wildepod-2026-02-16-v5a.0.1_detections.json.zip
WSU Lynx,wsu-lynx,North America,United States,Washington,https://lilawildlife.blob.core.windows.net/lila-wildlife/wsu-lynx/wsu-lynx.26.02.13.1705.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wsu-lynx/wsu-lynx.26.02.13.1705.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/wsu-lynx/wsu-lynx.26.02.13.1705.zip,https://storage.googleapis.com/public-datasets-lila/wsu-lynx,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wsu-lynx,https://lilawildlife.blob.core.windows.net/lila-wildlife/wsu-lynx,,https://lila.science/public/lila-md-results/wsu-lynx-2026-02-18-v5a.0.1_detections.filtered.json.zip,https://lila.science/public/lila-md-results/wsu-lynx-2026-02-18-v5a.0.1_detections.json.zip
AMMonitor Camera Traps,ammonitor-camera-traps,North America,United States,,https://storage.googleapis.com/public-datasets-lila/ammonitor-camera-traps/ammonitor-camera-traps.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/ammonitor-camera-traps/ammonitor-camera-traps.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/ammonitor-camera-traps/ammonitor-camera-traps.zip,https://storage.googleapis.com/public-datasets-lila/ammonitor-camera-traps,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/ammonitor-camera-traps,https://lilawildlife.blob.core.windows.net/lila-wildlife/ammonitor-camera-traps,,https://lila.science/public/lila-md-results/ammonitor-camera-traps-2026-06-12-v5a.0.1_detections.filtered.zip,https://lila.science/public/lila-md-results/ammonitor-camera-traps-2026-06-12-v5a.0.1_detections.zip
